,author_id,created_at,entities,id,in_reply_to_user_id,text,name,username
4168,43698887,2022-06-01 17:21:35+00:00,,1532049735171059712,,Mantapz sekali yah salah satu temen w baru kemarin2 liat instastorynya resign kerjaan eh skrg travelling ke amrik. Iri sekali aku rasanya. Karena itu adalah my dream mas!,Icikiwiiir~,iciiiw
4169,1126111681040371712,2022-06-01 17:21:19+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Chalistaa2', 'id': '943293307337109504'}], 'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/z1D1qc28wS', 'expanded_url': 'https://twitter.com/Chalistaa2/status/1531980690027257858/photo/1', 'display_url': 'pic.twitter.com/z1D1qc28wS', 'media_key': '3_1531980679428288512'}], 'hashtags': [{'start': 36, 'end': 49, 'tag': 'LouisVuitton'}, {'start': 50, 'end': 60, 'tag': 'LVMenFW22'}, {'start': 62, 'end': 73, 'tag': 'winmetawin'}]}",1532049666509926400,,"RT @Chalistaa2: Afgan sama win 😳😳😳

#LouisVuitton #LVMenFW22 
#winmetawin https://t.co/z1D1qc28wS",a y a 🌻🦋,lovayarukk
4170,373356547,2022-06-01 17:21:14+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'QristCasso', 'id': '406980072'}, {'start': 129, 'end': 138, 'username': 'nkjdhrz_', 'id': '373356547'}]}",1532049647006384133,,RT @QristCasso: May Allah ease everything for my bf so he can finally buy me a dior bag :D jk but kalau rezeki apa salahnya hehe @nkjdhrz_,TheBoyDuddus 𓅓,nkjdhrz_
4171,1502540055528673292,2022-06-01 17:21:13+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'watanabefirst', 'id': '1208428581765836800'}]}",1532049643751997440,1.2084285817658368e+18,"@watanabefirst Nanti aku kenalin, aku ajak makan seblak sama mie ayam",㌤Jeje ngang ngong 🌼,PARKJ1HOONIE
4172,3030358278,2022-06-01 17:21:07+00:00,,1532049619223343104,,"tgl 6 ada temen ultah, bingung bgt mau ngado apa, udah jarang kontakan, gatau ukuran sepatu, baju, dkk, gatau dia lg butuh apa :(
pengen ngasih yg bener-bener kepake tolong gmn ini caranya biar tau 😣",🐒,agstnrtys
4173,1528592850686218241,2022-06-01 17:21:07+00:00,"{'mentions': [{'start': 3, 'end': 13, 'username': 'fullshan_', 'id': '1079379751523868673'}]}",1532049616514224128,,"RT @fullshan_: Pas di dalam bus perjalanan ke bandara, jisung mikirin gelang di lantai itu lagi dan baru sadar itu gelang dia ternyataa😭😭😭😭…",pr1ncess bby,twingkypp
4174,1462397320725602313,2022-06-01 17:21:04+00:00,"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/dR8niD491O', 'expanded_url': 'https://twitter.com/detikcom/status/1531981219059073026', 'display_url': 'twitter.com/detikcom/statu…'}]}",1532049606481129472,,Yaudah ke batam aja trus ntar nyebrang naik ferry biar hemat 😒 https://t.co/dR8niD491O,Kecap asin,stun_noser321
4175,1407581214148489217,2022-06-01 17:21:03+00:00,"{'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/v0grMyh2lw', 'expanded_url': 'https://twitter.com/kyuflowss/status/1532049600550293505/photo/1', 'display_url': 'pic.twitter.com/v0grMyh2lw', 'media_key': '3_1532049597584904192'}, {'start': 54, 'end': 77, 'url': 'https://t.co/u1bTFN7gr3', 'expanded_url': 'https://twitter.com/kyuflowss/status/1531689208040914944', 'display_url': 'twitter.com/kyuflowss/stat…'}]}",1532049600550293505,,Update: sekarang tambah rusak https://t.co/v0grMyh2lw https://t.co/u1bTFN7gr3,❥𝑪𝒉𝒆𝒚𝒚🌻,kyuflowss
4176,739308638032920576,2022-06-01 17:21:02+00:00,"{'mentions': [{'start': 3, 'end': 13, 'username': 'fullshan_', 'id': '1079379751523868673'}]}",1532049597631463424,,"RT @fullshan_: Pas di dalam bus perjalanan ke bandara, jisung mikirin gelang di lantai itu lagi dan baru sadar itu gelang dia ternyataa😭😭😭😭…",paupau,paulina27_
4177,1494298762579259393,2022-06-01 17:21:01+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'lilstrojay', 'id': '1501906312929714176'}]}",1532049593562800130,,RT @lilstrojay: Kuna mluhya amefukuzwa mjengo ju ya ku set alarm ya lunch 💀💀,ᔕOᑎIᗩ🍄,it_sonia_
4178,1047123017669595137,2022-06-01 17:21:00+00:00,,1532049589762523136,1.0471230176695951e+18,"makanya w kl nyuci tu sepatu selalu dilaundry krn biar kaga rusak soalny w kaga paham cara nyucinya, trs kmrn w jemur tp tebalik gt trs td siang pas w cek ada bagian bahan yg luntur ke bagian bahan satunya (bahannya jg macem macem gt ada yg bludru ada yg sintetis gt deh pusing)",scho,alphascho
4179,1047123017669595137,2022-06-01 17:11:13+00:00,,1532047124589780992,,utk ap beli sepatu harga jutaan kl kena aer ujan lgsg luntur,scho,alphascho
4180,1207983372154200064,2022-06-01 17:20:50+00:00,,1532049544636035072,,comelnya tgok bettyrahmad pergi camping 😍😍,☁️,iffdania
4181,379736834,2022-06-01 17:20:48+00:00,,1532049536109416448,,nnti gue nonton konser yakali pakai sepatu docmart yg bikin lecet dan pegel,novita,novitaaamn
4182,1528039653135175680,2022-06-01 17:20:47+00:00,"{'mentions': [{'start': 0, 'end': 11, 'username': 'tanyakanrl', 'id': '1331650559518990336'}]}",1532049535366598656,1.3316505595189903e+18,"@tanyakanrl susahh nder ngilangin komedo, idol idol aja masih banyak yang komedoan padahal skincare katanya bisa ngecilin pori pori",chagiya,sohnchagi
4183,1084499912,2022-06-01 17:20:43+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Askrlfess', 'id': '1197225394866282496'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/n5c98Y57oI', 'expanded_url': 'https://twitter.com/akutajirmlintir/status/1526561991128625152?s=20&t=2MMmGNo2Y3Mc6O4Teo0Ttw', 'display_url': 'twitter.com/akutajirmlinti…'}]}",1532049516072820736,1.1972253948662825e+18,"@Askrlfess Yg mau jd bretsmet bisa pake jasa makeup aku👍
https://t.co/n5c98Y57oI",ceyyy,akutajirmlintir
4184,1084499912,2022-06-01 17:17:45+00:00,"{'mentions': [{'start': 0, 'end': 15, 'username': 'ohmybeautybank', 'id': '994801274091687936'}], 'urls': [{'start': 124, 'end': 147, 'url': 'https://t.co/n5c98Y57oI', 'expanded_url': 'https://twitter.com/akutajirmlintir/status/1526561991128625152?s=20&t=2MMmGNo2Y3Mc6O4Teo0Ttw', 'display_url': 'twitter.com/akutajirmlinti…'}]}",1532048771244142592,9.94801274091688e+17,"@ohmybeautybank Maybelline seductress &amp; versatile kalo akuuu kak

Btw aku buka jasa makeup, mau tanya2 bole dm aku yaa🥰
https://t.co/n5c98Y57oI",ceyyy,akutajirmlintir
4185,1084499912,2022-06-01 17:15:21+00:00,"{'mentions': [{'start': 0, 'end': 8, 'username': 'convomf', 'id': '1314975287294083073'}], 'urls': [{'start': 198, 'end': 221, 'url': 'https://t.co/n5c98Y57oI', 'expanded_url': 'https://twitter.com/akutajirmlintir/status/1526561991128625152?s=20&t=2MMmGNo2Y3Mc6O4Teo0Ttw', 'display_url': 'twitter.com/akutajirmlinti…'}]}",1532048164168929280,1.314975287294083e+18,"@convomf Cukup krn selama pandemi aku 500 sebulan tp hrs nahan diri juga dgn tdk sedikit2 alesan self reward🥲👍

Btw aku buka jasa makeup untuk area Jakarta yaa, yg mau tanya2 bisa dm aku timakaci❤✨
https://t.co/n5c98Y57oI",ceyyy,akutajirmlintir
4186,1084499912,2022-06-01 17:09:35+00:00,"{'mentions': [{'start': 0, 'end': 15, 'username': 'ohmybeautybank', 'id': '994801274091687936'}], 'urls': [{'start': 188, 'end': 211, 'url': 'https://t.co/fDYuQzOolI', 'expanded_url': 'https://twitter.com/akutajirmlintir/status/1526561991128625152?s=20&t=2MMmGNo2Y3Mc6O4Teo0Ttw0', 'display_url': 'twitter.com/akutajirmlinti…'}]}",1532046713237536768,9.94801274091688e+17,"@ohmybeautybank Cleansing balm mnurutku karena totalitas tanpa batassss trs pake dikir aja bisa buat semuka2

Btw aku buka jasa makeup untuk jakarta &amp; sekitarnya, tanya2 bs dm aku ya❤
https://t.co/fDYuQzOolI",ceyyy,akutajirmlintir
4187,331575338,2022-06-01 17:20:37+00:00,,1532049492832161793,,"Seexcited itu besok mau nganter jemput Nala sekolah lagi. Udah buat rencana, pulang sekolah mau lunch date sama Nala ke susite. Besoknya lagi ke abura. Tos Nala! Ngedate terus kita ya! 💋",WSU,uyabmehj
4188,951627031,2022-06-01 17:20:20+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'SenahDebab', 'id': '896315341118111744'}]}",1532049419658760193,,RT @SenahDebab: Tengok life kita now. Pagi bangun awal semata kejar masa takut jem. Sampai opis kul 9. Tak sempat bfast. Lunch pun ikut dan…,🤍,JihaevanesII
4189,1348582301811134469,2022-06-01 17:20:16+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'GairahUmmi', 'id': '1021126033'}], 'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/E9D3W64zhs', 'expanded_url': 'http://bit.ly/Ustadzah33', 'display_url': 'bit.ly/Ustadzah33'}]}",1532049402579554304,,"RT @GairahUmmi: sore tadi makan bakso sama duda komplek sebelah (1)

kamu mau lanjutannya? kesini dlu tpi yaaa https://t.co/E9D3W64zhs http…",Logan,SloganPaul
4190,1072806512928600064,2022-06-01 17:20:01+00:00,"{'urls': [{'start': 126, 'end': 149, 'url': 'https://t.co/G1dXwpEIc5', 'expanded_url': 'https://twitter.com/sagitaureansun/status/1527574913434804225', 'display_url': 'twitter.com/sagitaureansun…'}]}",1532049340638064640,,"CBS! PO sudah berakhir hari ini, tapi karena tidak jadi buka PO 2. PO ini akan diperpanjang sampai 10 Juni, don’t miss it!!💖💖 https://t.co/G1dXwpEIc5",ON❗ChanBaek base❗,chanbaeks614
4191,1343329307779686400,2022-06-01 17:19:59+00:00,"{'urls': [{'start': 17, 'end': 40, 'url': 'https://t.co/0pjyfyn3k6', 'expanded_url': 'https://twitter.com/makgeolina/status/1531903496957886464', 'display_url': 'twitter.com/makgeolina/sta…'}]}",1532049331439558656,,wah gw edan skrg https://t.co/0pjyfyn3k6,Aleeeeeee,Pprimilly
4192,1259869712160194560,2022-06-01 17:19:43+00:00,"{'mentions': [{'start': 3, 'end': 13, 'username': 'DonAdam68', 'id': '1312514755'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/zdIIaE9uXV', 'expanded_url': 'https://twitter.com/DonAdam68/status/1532048769276993537/photo/1', 'display_url': 'pic.twitter.com/zdIIaE9uXV', 'media_key': '3_1532048757231357952'}]}",1532049263923847169,,RT @DonAdam68: Harus banget ya min utk kasih tahu merk sepatu Ibu Negara... https://t.co/zdIIaE9uXV,Semboyan Yang Rapuh,SemboyanRapuh
4193,1113965550386860033,2022-06-01 17:19:31+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'CNNIndonesia', 'id': '17128975'}], 'hashtags': [{'start': 66, 'end': 79, 'tag': 'CNNIndonesia'}]}",1532049216457285632,,RT @CNNIndonesia: Chery Tiggo 7 Pro dapat menjadi pilihan pembaca #CNNIndonesia untuk melakukan 'road trip'. Estimasi harga SUV ini berkisa…,FERNALDY RIZKY PRAWIRA TUANAYAファーナルディ,FernaldyRizky11
4194,1358418671715061761,2022-06-01 17:19:31+00:00,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Chalistaa2', 'id': '943293307337109504'}], 'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/z1D1qc28wS', 'expanded_url': 'https://twitter.com/Chalistaa2/status/1531980690027257858/photo/1', 'display_url': 'pic.twitter.com/z1D1qc28wS', 'media_key': '3_1531980679428288512'}], 'hashtags': [{'start': 36, 'end': 49, 'tag': 'LouisVuitton'}, {'start': 50, 'end': 60, 'tag': 'LVMenFW22'}, {'start': 62, 'end': 73, 'tag': 'winmetawin'}]}",1532049213533847552,,"RT @Chalistaa2: Afgan sama win 😳😳😳

#LouisVuitton #LVMenFW22 
#winmetawin https://t.co/z1D1qc28wS",𝐎𝐥𝐢𝐧 | Chaos,beurlight_
4195,1458781632605802502,2022-06-01 17:19:31+00:00,"{'urls': [{'start': 205, 'end': 228, 'url': 'https://t.co/gNohwh8Ee5', 'expanded_url': 'https://twitter.com/Shazarose97/status/1532049213508292608/photo/1', 'display_url': 'pic.twitter.com/gNohwh8Ee5', 'media_key': '3_1532049196953444352'}]}",1532049213508292608,,Help dah 5 set dah ni random recipe pack yang md baker and kalau tak pull doyoung beret juga memang malas dah aku 😭 Ke nak kena join juga IT dekat kpoperspace tapi I selalu lambat kalau IT dah la 2 set 😅😭 https://t.co/gNohwh8Ee5,~slow reply~buying ban until nct127 comeback,Shazarose97
4196,1587844022,2022-06-01 17:19:30+00:00,,1532049210325217280,,Tiba-tiba kebayang mie ayam ciekek jam segini😩,yusifa🔆,shafira_yusifa
4197,1373623771,2022-06-01 17:19:10+00:00,,1532049125805785088,,"Teruslah berlari. Tapi jika kau lelah, tengoklah ke belakang.Ada aku yang selalu menantimu.",Setiadii,setiadi_irawan
4198,993938366839177216,2022-06-01 17:19:07+00:00,"{'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/YrLsEwQHda', 'expanded_url': 'https://twitter.com/sinxershine/status/1532049112224661504/photo/1', 'display_url': 'pic.twitter.com/YrLsEwQHda', 'media_key': '3_1532049108906942465'}, {'start': 56, 'end': 79, 'url': 'https://t.co/8MjBZFN14x', 'expanded_url': 'https://twitter.com/diomichu/status/1532048618089517056', 'display_url': 'twitter.com/diomichu/statu…'}]}",1532049112224661504,,TYSM SEPATU LUCUNYAA NAII! 🫶🫶🫶🫶 https://t.co/YrLsEwQHda https://t.co/8MjBZFN14x,𝐀.,sinxershine
4199,1136607129773793282,2022-06-01 17:19:00+00:00,"{'mentions': [{'start': 3, 'end': 12, 'username': 'niepushe', 'id': '1437070585125822470'}]}",1532049084298711042,,"RT @niepushe: DAGAA: ina wingi wa ""omega-3"" yaani asidi za mafuta ambazo mwili hauwezi kuzitengeneza na ni muhimu kwa afya na makuzi ya ubo…",Bonge La Afya,FestoNgadaya
4200,827204162,2022-06-01 17:18:51+00:00,"{'mentions': [{'start': 3, 'end': 13, 'username': 'DonAdam68', 'id': '1312514755'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/zdIIaE9uXV', 'expanded_url': 'https://twitter.com/DonAdam68/status/1532048769276993537/photo/1', 'display_url': 'pic.twitter.com/zdIIaE9uXV', 'media_key': '3_1532048757231357952'}]}",1532049046394707968,,RT @DonAdam68: Harus banget ya min utk kasih tahu merk sepatu Ibu Negara... https://t.co/zdIIaE9uXV,Donny Irawati,s_inod
4201,99113883,2022-06-01 17:18:48+00:00,"{'mentions': [{'start': 0, 'end': 15, 'username': 'redvelvedgurll', 'id': '1094974533541388288'}, {'start': 16, 'end': 24, 'username': 'sbyfess', 'id': '1152437175587241985'}]}",1532049035984396288,1.0949745335413883e+18,@redvelvedgurll @sbyfess Gawe tumbas mie ayam oleh sak es e wkwk,….,hasnovalue_
4202,980543801935745025,2022-06-01 17:18:45+00:00,"{'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/eVpC7WWe3n', 'expanded_url': 'https://twitter.com/DrRookie575/status/1532045195092664320', 'display_url': 'twitter.com/DrRookie575/st…'}]}",1532049020125863941,,It could be us lekin na tm itni pyari ni ho🤣🤣 https://t.co/eVpC7WWe3n,Shafiqshakir🇵🇰❤,Shfiqmribatsuno
4203,1032055346,2022-06-01 17:18:40+00:00,"{'mentions': [{'start': 3, 'end': 18, 'username': 'racunolshop_id', 'id': '926688227154468864'}], 'urls': [{'start': 97, 'end': 120, 'url': 'https://t.co/rOLvly5e9J', 'expanded_url': 'https://twitter.com/racunolshop_id/status/1531938148884021248/photo/1', 'display_url': 'pic.twitter.com/rOLvly5e9J', 'media_key': '3_1531937979413200896'}, {'start': 97, 'end': 120, 'url': 'https://t.co/rOLvly5e9J', 'expanded_url': 'https://twitter.com/racunolshop_id/status/1531938148884021248/photo/1', 'display_url': 'pic.twitter.com/rOLvly5e9J', 'media_key': '3_1531937979421556739'}, {'start': 97, 'end': 120, 'url': 'https://t.co/rOLvly5e9J', 'expanded_url': 'https://twitter.com/racunolshop_id/status/1531938148884021248/photo/1', 'display_url': 'pic.twitter.com/rOLvly5e9J', 'media_key': '3_1531937979392233472'}, {'start': 97, 'end': 120, 'url': 'https://t.co/rOLvly5e9J', 'expanded_url': 'https://twitter.com/racunolshop_id/status/1531938148884021248/photo/1', 'display_url': 'pic.twitter.com/rOLvly5e9J', 'media_key': '3_1531937979417378817'}]}",1532049001604055040,,"RT @racunolshop_id: Smart watch fashionable

- A Thread -

save dulu, cocok buat dijadiin hadiah https://t.co/rOLvly5e9J",ιηυg,Irfnnugroho
